
"Regional gross disposable household income (GDHI) at current basic prices"
"ONS Crown Copyright Reserved [from Nomis on 30 November 2025]"
"Analysis   :","standard"
"Component of GDHI:","Gross Disposable Household Income (GDHI)"
"Measure    :","GDHI per head (£)"

"local authority: district / unitary (as of April 2023)","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Rotherham",8448,8620,9159,9700,10041,10237,10648,10917,11258,11663,12224,12299,12662,12903,13213,13712,14202,14646,15218,15343,15921,16224,16464,16843,17145,18162,19793
"Sheffield",9387,9492,9951,10318,10920,11157,11457,12065,12058,12254,12531,12846,13308,13184,13178,13572,13853,14462,15070,15138,15436,15954,16481,16688,17272,18064,19462
"Bradford",9194,9319,9773,10295,10309,10473,10688,11111,11171,11454,11856,12043,12301,12218,12299,12635,13110,13452,14067,14059,14380,14596,15053,15334,15669,16469,17784
"Calderdale",9550,9782,10222,10773,11089,11270,11787,12303,12627,13015,13640,13724,13898,14080,14317,14808,15374,15876,16666,16609,17026,17506,17981,18025,18597,19428,21103
"Kirklees",9017,9220,9663,10148,10431,10611,11085,11494,11739,12094,12639,12693,12973,12993,13205,13689,14138,14563,15243,15234,15655,16308,16977,17056,17515,18440,20010
"Leeds",9939,10126,10583,11248,11612,11900,12211,12444,12643,13104,13749,13979,14276,14415,14764,14991,15409,15755,16461,16558,16992,17672,18328,18505,19049,20073,21694
"Wakefield",9112,9332,9746,10272,10607,10920,11444,11929,12249,12646,13299,13313,13560,13726,13652,14068,14565,14893,15599,15716,16329,16875,17401,17598,18092,19101,20706
"Derby",9175,9250,9722,9716,10156,10550,10840,11353,11307,12008,12296,12216,12881,12487,12493,13084,13438,14068,14543,14606,15186,15659,16206,16348,16719,17553,18915
"Leicester",8256,8075,8516,8992,9337,9641,9825,10005,9952,10206,10692,10603,10916,11108,11118,11473,11626,11930,12293,12499,12818,13101,13536,13894,14505,15159,16067
"Rutland",13620,13979,14036,14548,14766,14707,15362,16137,16521,16939,17675,17861,18129,18365,18775,19735,20037,20533,21852,21446,22046,26875,27264,24342,26444,26581,28694
"Nottingham",8195,8407,8900,9202,9431,9592,9802,9756,9904,10135,10582,10848,10839,10873,10902,11207,11832,12252,12767,12974,13127,13383,13974,14254,14882,15562,16823
"North Northamptonshire",10057,10165,10548,11038,11421,11697,12097,12645,13198,13816,14754,14958,15037,14958,15265,15830,16380,16868,17797,17777,18165,18340,18884,19254,19689,20729,22360
"West Northamptonshire",10842,10881,11310,12008,12390,12670,12903,13452,13962,14617,15702,15754,15713,15733,16697,17286,17672,18184,19182,19257,19854,20579,21040,20919,21645,22752,24612
"Amber Valley",8558,8897,9404,9742,10154,10484,11391,11933,12232,12735,13417,13659,13949,13994,14527,15135,15839,16227,17422,17529,17550,18188,18905,19366,19832,20777,22715
"Bolsover",7855,8151,8741,8951,9654,9806,10082,10417,10667,11129,11689,11612,11954,11900,12144,12629,12862,13269,13953,13971,14676,15002,15602,16434,17130,17755,19162
"Chesterfield",7662,7937,8546,8817,9655,9914,10143,10493,10704,11212,11803,11699,12091,12169,12443,13044,13341,13695,14514,14505,15389,15837,16878,17459,17783,18658,20318
"Derbyshire Dales",12609,12950,13197,14197,14716,15109,16044,16903,17594,18316,19479,19794,19383,19737,19912,20324,21697,22288,24094,23828,23850,25055,25579,24380,24935,27643,30873
"Erewash",7801,8011,8605,8742,9118,9494,10390,10935,11302,11839,12427,12660,13021,13047,13673,14162,14842,15106,16013,16188,16225,17046,17739,18060,18522,19454,21075
"High Peak",9200,9525,10038,10448,10884,11248,12185,12807,13158,13696,14446,14776,14938,14982,15682,16161,17001,17417,18685,18793,18907,19259,19705,20041,20566,21341,23177
"North East Derbyshire",9414,9793,10269,10776,11626,11925,12116,12588,13035,13691,14518,14509,14442,14407,14766,15122,15656,16100,17426,17043,17814,19207,19327,19277,19553,20377,22132
"South Derbyshire",10407,10583,11398,11702,12016,12241,13138,13559,13855,14265,14846,14977,15085,14994,15498,16073,16786,17196,18263,18318,18369,19224,20122,20094,20443,21182,22839
"Blaby",9216,9243,9752,9900,10359,10608,11235,11672,11989,12331,12942,12933,13660,13702,14076,14567,14919,15323,15870,16007,16853,17406,18205,18571,18873,19665,21201
"Charnwood",9816,10013,10377,10780,11249,11647,12324,12862,13194,13503,14201,14223,14470,14483,14700,15121,15458,15812,16495,16439,17235,17506,18603,18413,19310,20427,22158
"Harborough",15688,15903,16267,17003,17005,17062,17765,18507,19193,19529,20611,20686,20174,20377,20463,20815,21411,22225,23468,22974,23845,23887,24593,24036,24517,25861,28215
"Hinckley and Bosworth",10182,10360,10788,11219,11727,11998,12598,13101,13519,13899,14677,14751,15216,15303,15565,15989,16452,16929,17650,17503,18358,19042,19356,19522,19927,20859,22701
"Melton",11030,11312,11579,11959,12301,12696,13264,13901,14371,14807,15575,15705,15961,15982,16262,16774,17255,17836,18811,18862,19804,20548,21009,21117,21719,23277,25704
"North West Leicestershire",10516,10680,11200,11529,11970,12201,12805,13287,13596,13928,14604,14660,14995,15168,15451,15980,16517,16916,17553,17458,18272,18539,19268,19959,20139,20932,22618
