
"Regional gross disposable household income (GDHI) at current basic prices"
"ONS Crown Copyright Reserved [from Nomis on 30 November 2025]"
"Analysis   :","standard"
"Component of GDHI:","Gross Disposable Household Income (GDHI)"
"Measure    :","GDHI per head (£)"

"local authority: district / unitary (as of April 2023)","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Flintshire",9632,9622,10059,10849,11167,11437,11854,12345,12579,12860,13116,13602,13666,14036,14537,15035,15466,16076,16728,16940,17487,18271,18811,18916,19149,20577,22353
"Wrexham",9767,9789,10126,11055,11330,11691,12091,12670,12920,13116,13457,13903,13636,13951,14319,14688,15068,15644,16346,16558,17074,17117,17195,17307,17920,18378,19598
"Ceredigion",9304,9386,9289,8886,9330,9711,10046,10486,10888,11815,11666,12343,12704,12962,13282,13449,13603,14122,14676,15055,15667,16515,17162,17490,18285,18790,19903
"Pembrokeshire",9580,9662,9955,10023,10458,11092,11408,11847,12390,13069,13144,13715,13865,14141,14359,14961,15270,15710,16121,16239,16671,17204,17610,17789,18427,19088,20370
"Carmarthenshire",8990,9136,9412,9456,9932,10326,10716,11141,11844,12500,12735,13371,13497,13671,14052,14604,14818,15232,15550,15598,15923,16422,16851,17116,17566,18312,19722
"Swansea",9481,9568,10062,10386,11114,11408,11607,11958,12005,12312,12593,13588,13629,13387,13441,13852,13986,14749,15132,15131,15670,16347,16945,17306,17739,18128,19152
"Neath Port Talbot",9420,9524,9879,10653,11013,11005,11259,11641,11750,12124,12731,13179,13174,13383,13409,13873,14408,14827,15228,15199,15780,15804,16419,16806,17062,17578,18827
"Bridgend",9908,9847,10088,10833,10860,10759,11177,11535,11768,12131,12698,13094,13036,13337,13406,13711,14313,14720,14946,15070,15528,16294,16711,17074,17699,18861,20335
"Vale of Glamorgan",10607,10749,11298,11819,12058,12469,12889,13372,13687,14375,14796,15519,15679,15997,16292,16564,17036,17524,18395,18376,19153,20513,21347,21387,21679,22789,24478
"Cardiff",9615,9832,10318,10881,11293,11757,12109,12467,12617,13165,13427,13909,13970,14128,14311,14535,14758,15196,15762,15838,16567,17435,17854,17867,18897,19213,20020
"Rhondda Cynon Taf",7386,7305,7701,8394,9103,9620,9871,10445,10834,11125,11413,11876,11992,12112,12337,12852,13149,13510,14061,14147,14744,15334,15870,16252,16582,16998,18100
"Caerphilly",9085,9069,9551,10365,10577,10674,11150,11576,11659,11750,12205,12510,12385,12595,12792,13304,13706,14012,14555,14884,15308,15673,16332,16710,17138,18091,19526
"Blaenau Gwent",7057,7073,7620,8152,8499,8676,9075,9545,9713,9723,10125,10439,10623,10765,10962,11478,11768,12157,12587,12929,13303,13839,13912,14497,14969,15543,16611
"Torfaen",8382,8428,8996,9681,9996,10209,10721,11141,11211,11316,11834,12190,12186,12491,12748,13220,13655,13949,14470,14860,15235,16020,16508,16751,16894,17931,19491
"Monmouthshire",11201,11337,12130,13312,13710,14337,14415,14458,14895,15416,16583,17194,16242,16752,17015,17541,17674,18634,19382,19691,20474,21112,22293,22058,22966,24172,26030
"Newport",8648,8517,9250,9875,10363,10729,11047,11442,11750,12169,12817,13296,13124,13181,13524,14036,14155,14732,15162,15419,15647,16386,16596,16770,17257,17995,19250
"Powys",9239,9107,9716,10681,11028,11378,11758,12426,12834,13242,13515,14168,14358,14927,14893,15266,15485,15793,16129,16145,17411,18103,18356,18726,19348,19847,21247
"Merthyr Tydfil",8007,7839,8235,9048,9765,10275,10575,11302,11779,11976,12263,12629,12474,12501,12574,13072,13461,13806,14302,14250,14815,15210,15112,15510,15938,16966,18488
"Clackmannanshire",9207,9516,9924,10420,10941,11482,12155,12864,13168,13280,14018,14647,15160,15406,15672,16230,16940,17360,17856,18145,18511,18699,19594,18953,18429,19614,21567
"Dumfries and Galloway",9136,9344,9518,9912,10225,10651,11122,11619,11729,12418,13197,13947,14420,14712,14818,15284,15724,16224,16856,17216,17478,17788,18538,18819,19531,20548,22534
"East Ayrshire",8684,8796,8927,9613,10252,10742,11099,11773,12198,12671,13413,13660,13688,14207,14209,14467,15114,15452,15906,16029,16249,16335,17045,17213,17806,18931,20440
"East Lothian",10928,11187,11678,12224,12405,12618,13552,14588,15200,15645,16250,16822,16816,17544,17825,18129,19002,19618,20108,20066,20194,20687,22273,22307,22580,23583,26042
"East Renfrewshire",14124,14297,14450,15425,15958,15962,16177,16948,17786,18525,19153,20131,19688,19779,19716,20070,20939,21252,22468,22230,22394,22647,22338,22515,23582,25763,28595
"Na h-Eileanan Siar",9464,9737,9810,9863,10453,11533,11838,12990,13672,13672,14502,15189,16053,16900,17485,17499,18055,18312,19766,19943,21437,21653,21410,20642,19970,20968,22940
"Falkirk",8578,8728,9352,9653,10337,10629,11125,11606,11939,12685,13410,13934,13798,13721,14196,14789,15209,15457,15822,16508,17054,17513,18182,18309,18733,19810,21537
"Highland",9339,9460,9936,10123,10714,11073,11526,11786,12113,13024,13582,15033,15265,15558,15385,16104,16805,16940,17550,17722,17986,18817,19663,19620,20320,21430,23625
"Inverclyde",8342,8511,8932,9532,10227,10316,10654,10985,11404,11908,12420,13134,13440,13520,13788,14247,14701,15006,15838,15969,16280,16703,17360,17399,18820,19523,21486
"Midlothian",8648,8819,9335,9662,10032,10445,11366,12385,12937,13565,14157,14782,15190,15769,16073,16429,17283,17602,17946,17918,17650,18425,18931,19216,20688,21466,23258
"Moray",7728,7893,8116,8385,8840,9164,9299,9498,9738,10343,11271,14281,14388,14426,13733,14481,14938,15501,16139,16480,16777,17801,18476,18319,18860,20014,21873
"North Ayrshire",8038,8126,8185,8776,9447,9958,10292,10832,11208,11725,12344,12592,12945,13533,13627,13968,14598,14866,15465,15561,15697,16242,16882,17071,17470,18728,20448
"Orkney Islands",6814,7474,8026,8735,9364,9476,8668,9876,10002,11282,11928,12246,13418,14517,16546,16369,16450,16658,17086,17408,17538,17910,18384,18647,19720,20250,21575
"Scottish Borders",9385,9784,9943,10542,10978,11471,12331,12946,13551,14237,14692,15294,15636,15995,16228,16245,16881,17569,18050,18258,18482,18810,19701,19910,20309,21560,23765
"Shetland Islands",9111,9133,9195,10034,9188,9682,10007,10588,11111,12382,13621,14904,16803,15825,16137,16847,17669,18270,19098,19572,19499,19371,20893,20739,21556,22799,24953
"South Ayrshire",9364,9513,9996,10430,11091,11442,12142,12817,13217,13904,14290,14897,15191,15632,15952,16510,17058,17389,17602,17824,17724,18117,18681,18831,19890,20959,22804
"South Lanarkshire",9546,9795,10142,10737,10990,11683,11828,12404,13015,13312,14049,14530,14661,14971,15276,15622,15964,16118,16785,16907,17482,17901,18779,18963,19575,20588,22339
"Stirling",11279,11495,11446,11892,12628,12461,13057,14465,14772,15770,16409,16789,16831,16881,17658,18142,18666,19029,19584,19739,20314,20344,20940,20663,21884,23019,24946
"Aberdeen City",10154,10341,10331,11020,11739,12213,12653,13801,14703,15562,16518,17288,17676,17932,18685,19496,20712,21324,21285,20409,20503,20624,21093,20419,20675,21285,22582
"Aberdeenshire",11610,11764,11588,12307,12929,13219,13401,14303,15279,15987,16980,17825,18206,18637,19460,20135,21370,21739,21676,20510,20644,21229,22070,21422,21859,23120,25080
"Argyll and Bute",8155,8422,8373,9504,10145,10572,10880,11276,11840,12990,13544,13890,14492,15259,15392,16002,16001,16123,16709,16887,17636,18558,19423,19317,19639,21304,23379
"City of Edinburgh",11981,12362,12974,13660,14350,14879,15388,16015,16503,17447,17862,18233,18349,18482,19043,19884,20371,20862,21591,21904,22570,23420,24445,24055,25514,27091,29109
"Renfrewshire",9136,9311,9828,10427,11209,11303,11603,11834,12280,12827,13343,13983,14341,14218,14380,14757,15303,15689,16392,16499,16691,17017,18292,18113,18090,18891,20432
"West Dunbartonshire",6935,7193,8312,8759,9224,9543,9868,10128,10452,11041,11295,11848,12264,12432,12754,13237,13392,13638,14207,14499,15167,15808,16485,16529,16903,17255,18626
"West Lothian",8266,8569,9217,10074,10682,11233,11750,12048,12255,12952,14109,14100,13896,14223,14343,14807,15409,15927,16592,16868,17469,17722,18351,18583,19124,20613,22233
"Angus",10639,10799,11061,11958,12630,13027,13116,13582,13760,14083,14968,15954,15695,15738,16034,16417,17265,17774,18250,18420,18549,19078,19476,19132,19600,20957,22631
"Dundee City",8037,8232,8638,9093,9718,10173,10368,10841,10940,11400,12084,12929,13114,12916,13208,13607,14262,14622,14889,15096,15270,15528,16306,16613,17175,17667,18954
"East Dunbartonshire",11141,11436,12664,13631,13956,14442,14843,15413,16019,16866,17653,18512,18473,18818,19002,19219,19702,19939,20862,21156,21956,22660,23202,22791,24023,25698,28153
"Fife",8878,9195,9523,9995,10420,10852,11170,11746,12041,12128,13103,13741,13882,14094,14281,14670,15307,15635,16313,16599,17000,17283,17854,18048,18579,20026,21909
"Perth and Kinross",10911,11177,11176,11736,12465,12420,12958,14187,14564,15563,15992,16117,16164,16278,17074,17475,18061,18385,19010,19239,19699,20253,21148,21055,21648,23147,25305
"Glasgow City",8938,9114,9594,10192,10653,11042,11503,11878,12117,12705,13411,13650,13901,13847,13948,14379,14670,15182,15630,16058,16243,16397,17093,17407,18152,18881,20006
"North Lanarkshire",8649,8789,9156,9732,10188,10549,10853,11229,11599,11921,12703,13233,13331,13459,13658,14035,14477,15182,15527,15915,16045,16370,16966,17093,17389,18434,20049
"Antrim and Newtownabbey",9156,9145,9489,10178,10393,10932,11371,11938,12384,12898,13402,13735,13836,13898,14263,14603,15190,15700,15951,15806,16263,16527,17188,17282,17911,19070,20519
"Armagh City, Banbridge and Craigavon",8462,8498,8820,9066,9325,9871,10409,11133,11701,12473,12836,12960,13011,13257,13488,13515,14192,14971,15382,15180,15417,15781,16271,16493,17449,18485,20019
"Belfast",9678,9760,10053,10546,10839,11247,11399,11766,12050,12547,12683,13278,13557,13676,13835,14089,14589,14774,15051,15144,15521,16005,16554,16583,17530,18451,19671
"Causeway Coast and Glens",6947,6904,7259,7648,8146,8886,9342,9946,10816,11379,11408,11279,11691,12071,12554,12762,13273,13790,14903,15555,15805,15890,16493,16854,17937,19237,20861
"Derry City and Strabane",6927,6919,7279,7595,7985,8713,9339,10085,10948,11473,11625,11585,11809,12218,12552,12805,13280,13720,13872,14038,14373,14551,15315,15707,16756,17651,18847
"Fermanagh and Omagh",7531,7552,7937,8220,8501,8909,9730,10550,11281,11936,12066,12004,12111,12301,12598,12761,13082,13453,14285,14715,15259,15489,16125,16553,17212,18370,19752
"Lisburn and Castlereagh",9218,9186,9569,10373,10671,11170,11686,12229,12750,13162,13662,13996,14085,14183,14389,14924,15688,16116,17268,17617,17685,18188,18858,18801,19470,20672,22529
"Mid and East Antrim",9092,9123,9423,10041,10070,10647,11138,11735,12228,12883,13305,13617,13771,13882,14153,14499,15119,15832,16437,16591,16425,16828,17074,17155,17901,18957,20491
"Mid Ulster",7595,7611,7984,8381,8566,8979,9775,10598,11253,11870,12008,11898,11970,12145,12483,12575,13057,13733,14296,14818,15817,16203,16741,16945,17633,18791,20511
"Newry, Mourne and Down",8290,8350,8659,9061,9225,9721,10351,10989,11736,12446,12600,12692,12790,12935,13309,13404,13912,14307,14421,14766,15299,15747,16243,16566,17275,18426,19898
"Ards and North Down",9346,9359,9688,10236,10513,11081,11455,11950,12478,13075,13480,13840,13992,14163,14487,14775,15470,15701,16098,16631,17244,17544,18333,18385,19211,20496,22307
"Column Total",10596,10814,11298,11889,12353,12643,13022,13556,14038,14618,15297,15695,15963,16111,16270,16870,17506,18061,19004,19228,19677,20407,21016,20978,21729,22907,24836


"","Column totals may not sum due to rounding."
"",""

"","Owing to differences in the timing of census updates, some"
"","population estimates for ITL2 and ITL3 areas of Scotland in"
"","2012 to 2022 are not yet available. Therefore, per head estimates"
"","for ITL2 and ITL3 areas in Scotland should be used with caution."
"",""

"","There may be discrepancies in these estimates compared to other published"
"","estimates due to rounding."
"",""

