region,region_code,age_band,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Blackburn with Darwen,E06000008,Aged 0 - 15,34618.0,34653.0,34490.0,34315.0,34266.0,34261.0,34185.0,34126.0,34415.0,34386.0,34289.0,34460.0,34602.0,34670.0,34917.0,35229.0,35675.0,35503.0,35594.0,35390.0,35220.0,35437.0,36068.0,36892.0
Blackburn with Darwen,E06000008,Aged 16 - 59/64,82562.0,83652.0,84634.0,85695.0,86459.0,87391.0,88052.0,88710.0,89379.0,89877.0,90341.0,90423.0,90560.0,90639.0,90877.0,91231.0,91314.0,91602.0,92438.0,92885.0,93217.0,93947.0,95994.0,98169.0
Blackburn with Darwen,E06000008,Aged 16 - 64,85521.0,86573.0,87587.0,88675.0,89504.0,90546.0,91430.0,92242.0,93096.0,93716.0,94217.0,94189.0,94256.0,94244.0,94556.0,94957.0,95080.0,95403.0,96292.0,96764.0,97184.0,98039.0,100212.0,102473.0
Blackburn with Darwen,E06000008,Aged 18 - 24,12015.0,12238.0,12535.0,12758.0,12972.0,13454.0,13719.0,13807.0,13855.0,13751.0,13412.0,13334.0,13283.0,13311.0,13343.0,13177.0,12913.0,13009.0,13118.0,13217.0,13634.0,13683.0,14096.0,14643.0
Blackburn with Darwen,E06000008,Aged 65 and over,18314.0,18312.0,18352.0,18428.0,18375.0,18303.0,18327.0,18534.0,18686.0,18864.0,19151.0,19883.0,20290.0,20665.0,21017.0,21311.0,21557.0,21881.0,22180.0,22410.0,22550.0,22792.0,22909.0,23175.0
Blackburn with Darwen,E06000008,All ages,138453.0,139538.0,140429.0,141418.0,142145.0,143110.0,143942.0,144902.0,146197.0,146966.0,147657.0,148532.0,149148.0,149579.0,150490.0,151497.0,152312.0,152787.0,154066.0,154564.0,154954.0,156268.0,159189.0,162540.0
Blackpool,E06000009,Aged 0 - 15,26820.0,26553.0,26353.0,26334.0,26318.0,26128.0,25973.0,25702.0,25546.0,25571.0,25408.0,25622.0,25477.0,25204.0,25193.0,25100.0,25297.0,25405.0,25660.0,25236.0,24600.0,25026.0,25424.0,25618.0
Blackpool,E06000009,Aged 16 - 59/64,83294.0,83575.0,84441.0,85140.0,85837.0,86178.0,86303.0,85658.0,85225.0,85271.0,84662.0,84595.0,84834.0,84459.0,84038.0,84096.0,83896.0,83417.0,83349.0,82844.0,82425.0,82369.0,83046.0,83449.0
Blackpool,E06000009,Aged 16 - 64,87567.0,87807.0,88650.0,89316.0,90045.0,90438.0,90774.0,90303.0,89997.0,89967.0,89317.0,88960.0,88969.0,88436.0,87963.0,88151.0,88022.0,87694.0,87786.0,87355.0,87014.0,87185.0,88035.0,88588.0
Blackpool,E06000009,Aged 18 - 24,9845.0,10100.0,10548.0,11123.0,11399.0,11690.0,11990.0,11974.0,12003.0,12178.0,12014.0,12103.0,12328.0,12006.0,11766.0,11371.0,10944.0,10745.0,10492.0,10287.0,10030.0,9922.0,10143.0,10330.0
Blackpool,E06000009,Aged 65 and over,27883.0,27804.0,27655.0,27493.0,27325.0,27167.0,26897.0,26916.0,27035.0,27215.0,27355.0,27983.0,28287.0,28613.0,28632.0,28745.0,28802.0,28781.0,28961.0,28969.0,29362.0,29469.0,29611.0,29985.0
Blackpool,E06000009,All ages,142270.0,142164.0,142658.0,143143.0,143688.0,143733.0,143644.0,142921.0,142578.0,142753.0,142080.0,142565.0,142733.0,142253.0,141788.0,141996.0,142121.0,141880.0,142407.0,141560.0,140976.0,141680.0,143070.0,144191.0
