region,region_code,year,metric,value
East Midlands,E12000004,2006,gdhi_total_mn_gbp,56995
East Midlands,E12000004,2007,gdhi_total_mn_gbp,60800
East Midlands,E12000004,2008,gdhi_total_mn_gbp,62035
East Midlands,E12000004,2009,gdhi_total_mn_gbp,63492
East Midlands,E12000004,2010,gdhi_total_mn_gbp,64096
East Midlands,E12000004,2011,gdhi_total_mn_gbp,65789
East Midlands,E12000004,2012,gdhi_total_mn_gbp,68474
East Midlands,E12000004,2013,gdhi_total_mn_gbp,71066
East Midlands,E12000004,2014,gdhi_total_mn_gbp,73877
East Midlands,E12000004,2015,gdhi_total_mn_gbp,78090
East Midlands,E12000004,2016,gdhi_total_mn_gbp,79032
East Midlands,E12000004,2017,gdhi_total_mn_gbp,81964
East Midlands,E12000004,2018,gdhi_total_mn_gbp,84915
East Midlands,E12000004,2019,gdhi_total_mn_gbp,88199
East Midlands,E12000004,2020,gdhi_total_mn_gbp,89552
East Midlands,E12000004,2021,gdhi_total_mn_gbp,92464
East Midlands,E12000004,2022,gdhi_total_mn_gbp,98101
West Midlands,E12000005,1997,gdhi_per_head_gbp,9681
West Midlands,E12000005,1998,gdhi_per_head_gbp,9974
West Midlands,E12000005,1999,gdhi_per_head_gbp,10351
West Midlands,E12000005,2000,gdhi_per_head_gbp,10808
West Midlands,E12000005,2001,gdhi_per_head_gbp,11228
West Midlands,E12000005,2002,gdhi_per_head_gbp,11486
West Midlands,E12000005,2003,gdhi_per_head_gbp,11780
West Midlands,E12000005,2004,gdhi_per_head_gbp,12190
West Midlands,E12000005,2005,gdhi_per_head_gbp,12391
West Midlands,E12000005,2006,gdhi_per_head_gbp,12852
West Midlands,E12000005,2007,gdhi_per_head_gbp,13201
West Midlands,E12000005,2008,gdhi_per_head_gbp,13548
West Midlands,E12000005,2009,gdhi_per_head_gbp,13873
West Midlands,E12000005,2010,gdhi_per_head_gbp,14012
West Midlands,E12000005,2011,gdhi_per_head_gbp,14188
West Midlands,E12000005,2012,gdhi_per_head_gbp,14568
West Midlands,E12000005,2013,gdhi_per_head_gbp,15057
West Midlands,E12000005,2014,gdhi_per_head_gbp,15606
West Midlands,E12000005,2015,gdhi_per_head_gbp,16391
West Midlands,E12000005,2016,gdhi_per_head_gbp,16671
West Midlands,E12000005,2017,gdhi_per_head_gbp,16915
West Midlands,E12000005,2018,gdhi_per_head_gbp,17439
West Midlands,E12000005,2019,gdhi_per_head_gbp,17910
West Midlands,E12000005,2020,gdhi_per_head_gbp,18027
West Midlands,E12000005,2021,gdhi_per_head_gbp,18507
West Midlands,E12000005,2022,gdhi_per_head_gbp,19480
West Midlands,E12000005,1997,gdhi_total_mn_gbp,50945
West Midlands,E12000005,1998,gdhi_total_mn_gbp,52576
West Midlands,E12000005,1999,gdhi_total_mn_gbp,54568
West Midlands,E12000005,2000,gdhi_total_mn_gbp,56955
West Midlands,E12000005,2001,gdhi_total_mn_gbp,59293
West Midlands,E12000005,2002,gdhi_total_mn_gbp,60892
West Midlands,E12000005,2003,gdhi_total_mn_gbp,62735
West Midlands,E12000005,2004,gdhi_total_mn_gbp,65175
West Midlands,E12000005,2005,gdhi_total_mn_gbp,66673
