region_code,metric,year,value,ci_lower,ci_upper,ci_width,cv
E12000004,gdhi_total_mn_gbp,2024,108696.94850138057,103252.05617744094,114351.36642386648,11099.310246425535,0.051056218226239174
E12000004,gdhi_total_mn_gbp,2025,113155.52035943768,105238.20686929484,121585.95657068767,16347.749701392837,0.07223575858015734
E12000004,gdhi_total_mn_gbp,2026,117372.56931135179,107403.25222392834,128180.26174095474,20777.009517026396,0.08850879570469167
E12000004,gdhi_total_mn_gbp,2027,121761.03424643328,109905.2302750967,134804.27328161502,24899.043006518317,0.10224553019205189
E12000004,gdhi_total_mn_gbp,2028,126326.4612744728,112660.17538528155,141554.4744001215,28894.29901483994,0.11436360491433598
E12000004,gdhi_total_mn_gbp,2029,131074.62236707733,115627.96019435498,148484.02423930413,32856.06404494915,0.12533343011637685
E12000004,gdhi_total_mn_gbp,2030,136011.5195823417,118786.90390921288,155628.16112531733,36841.25721610445,0.13543432692037777
E12000004,gdhi_total_mn_gbp,2031,141143.38956816914,122124.62641278404,163013.36062926892,40888.73421648488,0.14484820841268137
E12000004,gdhi_total_mn_gbp,2032,146476.7083748661,125634.02663593182,170661.37006616718,45027.343430235356,0.15370137658678293
E12000004,gdhi_total_mn_gbp,2033,152018.19659278617,129311.26875536708,178591.23590578872,49279.96715042164,0.16208575109737933
E12000004,gdhi_total_mn_gbp,2034,157774.82482117374,133154.676256266,186820.4240753239,53665.74781905793,0.1700706937240594
E12000004,gdhi_total_mn_gbp,2035,163753.81946840032,137164.08106373003,195365.48595624638,58201.40489251635,0.17771006832529948
E12000004,gdhi_total_mn_gbp,2036,169962.66888028535,141340.4193573953,204242.47846058267,62902.05910318738,0.18504669148109512
E12000004,gdhi_total_mn_gbp,2037,176409.1297914656,145685.4696319759,213467.24261970722,67781.77298773132,0.19211526372772375
E12000004,gdhi_total_mn_gbp,2038,183101.23409411823,150201.677003122,223055.59668074644,72853.91967762445,0.19894437095977152
E12000004,gdhi_total_mn_gbp,2039,190047.29591845578,154892.0320308318,233023.4754329455,78131.44340211371,0.20555789290376913
