region_code,metric,year,value,ci_lower,ci_upper,ci_width,cv
TLJ3,gdhi_per_head_gbp,2026,27708.526151731247,25951.538588401338,29443.840057452293,3492.3014690509553,0.06301853534047956
TLJ3,productivity_gbp_per_job,2027,96603.10574759888,84700.05007705018,108290.31586270948,23590.2657856593,0.12209889942511319
TLJ3,employment_rate,2027,44.71862202875253,44.237747312749946,45.22245790752514,0.9847105947751942,0.011010073098205703
TLJ3,income_per_worker_gbp,2027,64045.57812541613,58776.144947131615,69270.10516802821,10493.960220896595,0.08192572015156911
TLJ3,gdhi_per_head_gbp,2027,28612.674050308662,26570.78387686824,30650.116638810654,4079.3327619424126,0.07128541629436425
TLJ3,productivity_gbp_per_job,2028,100356.13498918121,86303.86181029702,114029.77613679472,27725.914326497703,0.1381376152513579
TLJ3,employment_rate,2028,44.807496990658436,44.24980661147128,45.388467286496514,1.1386606750252355,0.012706140171840283
TLJ3,income_per_worker_gbp,2028,65866.8901061553,59901.111167843526,71886.47308900666,11985.36192116313,0.09098168975221657
TLJ3,gdhi_per_head_gbp,2028,29519.400162582315,27157.739893382222,31910.646849660974,4752.906956278752,0.08050480243672699
TLJ3,productivity_gbp_per_job,2029,103933.09594947641,88408.52453800463,119439.4472049416,31030.922666936982,0.14928316328622418
TLJ3,employment_rate,2029,44.951803006819546,44.32085042743898,45.59925533787105,1.278404910432073,0.014219728964354653
TLJ3,income_per_worker_gbp,2029,67803.81324127445,61064.96184820266,74580.50103836237,13515.53919015971,0.09966651242803812
TLJ3,gdhi_per_head_gbp,2029,30449.745965873146,27742.134775514824,33095.51709143433,5353.382315919509,0.0879052048893834
TLJ3,productivity_gbp_per_job,2030,108003.57401747443,90586.21792986778,125430.32589283433,34844.10796296655,0.1613099764519318
TLJ3,employment_rate,2030,45.131453177888424,44.43913466381644,45.848752730753425,1.4096180669369858,0.015616803445048497
TLJ3,income_per_worker_gbp,2030,69594.94395850785,62163.9199013004,77386.20008144573,15222.280180145324,0.10936340568950505
TLJ3,gdhi_per_head_gbp,2030,31446.578132968174,28416.919729303707,34322.26527579134,5905.3455464876315,0.09389488295860951
TLJ3,productivity_gbp_per_job,2031,111969.51908786129,92144.39357978076,131391.28032494406,39246.8867451633,0.1752570121979656
TLJ3,employment_rate,2031,45.30844172552754,44.56427307104367,46.09429655024002,1.5300234791963447,0.016884529912383896
TLJ3,income_per_worker_gbp,2031,71817.80294408454,63312.76034595337,80060.24072180386,16747.480375850486,0.11659699746655877
TLJ3,gdhi_per_head_gbp,2031,32519.075366160345,29168.335422120854,35785.32315886442,6616.987736743566,0.10174009657773457
TLJ3,productivity_gbp_per_job,2032,116053.32854756407,94895.21137029552,138007.4498047618,43112.23843446627,0.18574322242208186
TLJ3,employment_rate,2032,45.49416022060184,44.68284123765886,46.29927589238277,1.6164346547239035,0.01776529830296667
TLJ3,income_per_worker_gbp,2032,73820.12767711126,64688.088444195164,82940.1937810616,18252.10533686643,0.1236255335177759
TLJ3,gdhi_per_head_gbp,2032,33592.67062259048,29949.46282913025,37148.674646019696,7199.211816889445,0.10715450250698588
TLJ3,productivity_gbp_per_job,2033,120592.10422797504,96938.45842907528,143875.3987732796,46936.94034420431,0.19461033806770514
TLJ3,employment_rate,2033,45.641474813739734,44.79798273202824,46.500404647447546,1.7024219154193077,0.01864994418307904
TLJ3,income_per_worker_gbp,2033,75936.69404806064,65976.4161151816,85899.57182000788,19923.15570482629,0.1311826644192388
TLJ3,gdhi_per_head_gbp,2033,34741.028564171094,30801.74239738772,38658.15184032918,7856.409442941458,0.11307105413459005
TLJ3,productivity_gbp_per_job,2034,122571.50269467608,97794.37533758533,147467.9818280354,49673.60649045008,0.2026311393692641
TLJ3,employment_rate,2034,45.43290890660092,44.541188387389134,46.36319487487118,1.8220064874820494,0.020051616012829537
TLJ3,income_per_worker_gbp,2034,78952.2851424443,68172.42559314134,89473.79108897272,21301.365495831385,0.13490024675916498
TLJ3,gdhi_per_head_gbp,2034,35857.160798715275,31661.407739271333,39937.264879164235,8275.857139892902,0.11540034062302859
TLJ3,productivity_gbp_per_job,2035,126944.62089496496,99428.15119283026,154038.8816399319,54610.73044710164,0.2150966699577094
TLJ3,employment_rate,2035,45.4964993388022,44.55904888777826,46.46448517747934,1.905436289701079,0.02094047143618373
TLJ3,income_per_worker_gbp,2035,81371.97202143267,69696.05437265772,93173.39786630168,23477.34349364396,0.1442593986014019
TLJ3,gdhi_per_head_gbp,2035,37058.37471114085,32441.59834109192,41487.00739092941,9045.409049837486,0.12204271126761215
TLJ3,productivity_gbp_per_job,2036,131467.00064892386,102841.31904833787,160963.98547038218,58122.666422044305,0.22105420423052785
TLJ3,employment_rate,2036,45.571836763104976,44.57526217140761,46.590804728746434,2.0155425573388257,0.02211390521536551
TLJ3,income_per_worker_gbp,2036,83873.64623322512,71754.38144731842,96024.02783492228,24269.64638760386,0.14467980991381924
TLJ3,gdhi_per_head_gbp,2036,38233.21492675274,33196.785582888726,43156.161407036045,9959.375824147319,0.13024507412242872
TLJ3,productivity_gbp_per_job,2037,136221.2952872435,105470.01005243229,168185.80376319514,62715.79371076285,0.2301981991087259
TLJ3,employment_rate,2037,45.62223986109483,44.59840420066926,46.7027835924558,2.1043793917865443,0.023063087193808417
TLJ3,income_per_worker_gbp,2037,86672.92058166668,73873.9043884057,100008.44697382506,26134.54258541936,0.1507653279134303
TLJ3,gdhi_per_head_gbp,2037,39532.00509834579,34038.94375566137,44720.01825488424,10681.074499222872,0.13509401398501059
TLJ3,productivity_gbp_per_job,2038,141035.08769221808,107398.45827649493,175421.7008384699,68023.24256197497,0.24115716051605043
TLJ3,employment_rate,2038,45.65650023544985,44.599410253903685,46.75565728729612,2.1562470333924324,0.02361380112659425
TLJ3,income_per_worker_gbp,2038,89492.27803191633,75185.47362739424,103529.36685091766,28343.893223523424,0.1583594352878967
TLJ3,gdhi_per_head_gbp,2038,40840.883206365994,35121.701083329324,46495.10269084888,11373.401607519554,0.13924039730055038
TLJ3,productivity_gbp_per_job,2039,147122.23387151555,110657.47524377427,183270.44193050155,72612.96668672728,0.24677767858711777
TLJ3,employment_rate,2039,45.68145258054888,44.587020194785346,46.8394086615376,2.252388466752251,0.024653205398631698
TLJ3,income_per_worker_gbp,2039,92178.3685332078,77307.04148754689,107332.87647147663,30025.834983929744,0.16286811896173212
TLJ3,gdhi_per_head_gbp,2039,42262.33116786233,36200.28982040973,48119.17715815633,11918.8873377466,0.1410107654781963
TLJ3,productivity_gbp_per_job,2040,152098.25456805166,112395.75247583639,190957.0686093912,78561.3161335548,0.2582584407581251
TLJ3,employment_rate,2040,45.71088778427301,44.55930431832318,46.921826549202386,2.3625222308792075,0.025842007729414977
TLJ3,income_per_worker_gbp,2040,95370.62111340836,79636.64861821673,111646.12856487083,32009.4799466541,0.16781624976831477
