region_code,metric,year,value,ci_lower,ci_upper,ci_width
E12000004,nominal_gva_mn_gbp,2028,159596.03453544911,139038.92421083522,183192.54398729975,44153.61977646453
E12000004,nominal_gva_mn_gbp,2029,162912.4620514479,140072.4782022437,189476.69543865696,49404.21723641324
E12000004,nominal_gva_mn_gbp,2030,166213.05339216845,141191.13028609563,195669.3672043541,54478.23691825845
E12000004,nominal_gva_mn_gbp,2031,169549.48117281357,142411.93385198762,201858.2697981462,59446.33594615859
E12000004,nominal_gva_mn_gbp,2032,172957.63018269424,143745.62379146533,208106.10472434945,64360.48093288412
E12000004,nominal_gva_mn_gbp,2033,176461.61262953267,145197.47977384945,214457.58411451036,69260.10434066091
E12000004,nominal_gva_mn_gbp,2034,180077.0425682052,146768.71970837459,220944.49910406125,74175.77939568667
E12000004,nominal_gva_mn_gbp,2035,183813.5776411398,148457.81504047706,227589.44226697105,79131.62722649399
E12000004,nominal_gva_mn_gbp,2036,187676.82284566542,150261.54745881635,234408.5391713211,84146.99171250477
E12000004,nominal_gva_mn_gbp,2037,191669.71743174506,152175.7897060708,241413.43804637683,89237.64834030604
E12000004,nominal_gva_mn_gbp,2038,195793.52224357578,154196.04998797126,248612.74562828356,94416.6956403123
E12000004,nominal_gva_mn_gbp,2039,200034.82867190562,156307.14343800492,255995.54698323234,99688.40354522743
E12000004,nominal_gva_mn_gbp,2040,204405.65479763923,158514.55149089012,263582.56273811474,105068.01124722461
E12000004,nominal_gva_mn_gbp,2041,208908.27168445953,160816.4660416203,271381.8245881175,110565.35854649718
E12000004,nominal_gva_mn_gbp,2042,213543.54224980855,163210.36163193427,279399.1997850788,116188.83815314455
E12000004,nominal_gva_mn_gbp,2043,218311.59356482487,165693.4744795653,287639.28111538937,121945.80663582406
E12000004,nominal_gva_mn_gbp,2044,223212.2559574606,168263.09700261735,296105.9917305808,127842.89472796346
E12000004,nominal_gva_mn_gbp,2045,228245.34141786816,170916.74897078893,304802.9885465633,133886.23957577438
E12000004,nominal_gva_mn_gbp,2046,233410.8125799651,173652.2675416614,313733.92470195645,140081.65716029506
E12000004,nominal_gva_mn_gbp,2047,238708.8782830365,176467.84514883917,322902.6144852903,146434.76933645114
E12000004,nominal_gva_mn_gbp,2048,244140.04080126737,179362.03490612315,332313.13167048426,152951.0967643611
E12000004,nominal_gva_mn_gbp,2049,249705.11207225715,182333.7367214794,341969.86315409176,159636.12643261236
E12000004,nominal_gva_mn_gbp,2050,255405.21077554036,185382.172843337,351877.53326434677,166495.36042100977
E12000004,population_16_64,2025,3160798.379991011,3113639.2562914975,3207957.5036905245,94318.247399027
E12000004,population_16_64,2026,3180131.701479294,3113407.7349019204,3246855.668056667,133447.93315474642
E12000004,population_16_64,2027,3192216.6133315405,3110644.5843366543,3273788.6423264267,163144.0579897724
E12000004,population_16_64,2028,3203100.640865969,3109113.3880883767,3297087.8936435613,187974.50555518456
E12000004,population_16_64,2029,3214126.7912544957,3109266.7840917083,3318986.798417283,209720.01432557497
E12000004,population_16_64,2030,3226194.1221847422,3111528.096877308,3340860.1474921764,229332.0506148683
E12000004,population_16_64,2031,3238731.085608799,3115075.8738416918,3362386.297375906,247310.42353421403
E12000004,population_16_64,2032,3251204.907698962,3119224.1242230874,3383185.6911748364,263961.5669517489
E12000004,population_16_64,2033,3263617.7988028345,3123856.2844054867,3403379.3132001827,279523.0287946961
E12000004,population_16_64,2034,3275971.887859966,3128887.8331237603,3423055.9425961724,294168.10947241215
E12000004,population_16_64,2035,3288269.22541506,3134255.270504395,3442283.180325725,308027.9098213301
E12000004,population_16_64,2036,3300511.78652106,3139909.5337811797,3461114.03926094,321204.50547976047
E12000004,population_16_64,2037,3312701.4735360527,3145811.8442871734,3479591.102784932,333779.25849775877
E12000004,population_16_64,2038,3324840.1188177327,3151930.971029425,3497749.2666060403,345818.29557661526
E12000004,population_16_64,2039,3336929.487319104,3158241.361666003,3515617.6129722055,357376.2513062027
E12000004,population_16_64,2040,3348971.279088929,3164721.826901562,3533220.731276295,368498.9043747331
E12000004,population_16_64,2041,3360967.131680333,3171354.59041369,3550579.6729469756,379225.0825332855
E12000004,population_16_64,2042,3372918.6224708776,3178124.587458994,3567712.6574827614,389588.07002376765
E12000004,population_16_64,2043,3384827.2708972483,3185018.937044582,3584635.604749915,399616.6677053333
E12000004,population_16_64,2044,3396694.540607647,3192026.53797529,3601362.543240004,409336.00526471436
E12000004,population_16_64,2045,3408521.841534851,3199137.7550696395,3617905.9280000622,418768.1729304227
E12000004,population_16_64,2046,3420310.5318928,3206344.1721661203,3634276.8916194793,427932.719453359
E12000004,population_16_64,2047,3432061.9200994703,3213638.3953814213,3650485.444817519,436847.0494360975
E12000004,population_16_64,2048,3443777.2666287003,3221013.8947119806,3666540.63854542,445526.7438334394
E12000004,population_16_64,2049,3455457.7857935606,3228464.8752659503,3682450.6963211712,453985.8210552209
E12000004,population_16_64,2050,3467104.647463727,3235986.1716579194,3698223.1232695337,462236.9516116143
E12000004,population_total,2025,5064777.675005767,5063059.560199623,5066495.78981192,3436.2296122973785
E12000004,population_total,2026,5107905.497277018,5105455.025833955,5110355.968720078,4900.942886122502
E12000004,population_total,2027,5149314.51804713,5146288.985419327,5152340.050674933,6051.065255605616
E12000004,population_total,2028,5190225.840549568,5186704.499856601,5193747.18124253,7042.681385929696
E12000004,population_total,2029,5228322.403799599,5224356.527564318,5232288.2800348755,7931.752470557578
E12000004,population_total,2030,5264711.447432191,5260336.810727992,5269086.084136389,8749.2734083971
E12000004,population_total,2031,5300992.9414430605,5296235.230637268,5305750.652248852,9515.421611583792
E12000004,population_total,2032,5337169.362700885,5332048.445284911,5342290.280116861,10241.834831949323
E12000004,population_total,2033,5373243.191031678,5367774.926119014,5378711.455944343,10936.52982532885
E12000004,population_total,2034,5409216.907196008,5403414.2596655125,5415019.554726507,11605.295060994104
E12000004,population_total,2035,5445092.990970145,5438966.75899319,5451219.222947099,12252.463953909464
E12000004,population_total,2036,5480873.919328241,5474433.231810062,5487314.606846422,12881.375036359765
E12000004,population_total,2037,5516562.164721289,5509814.83416727,5523309.495275307,13494.661108037457
E12000004,population_total,2038,5552160.193449899,5545112.973925606,5559207.412974191,14094.43904858455
E12000004,population_total,2039,5587670.4641272165,5580329.244632086,5595011.683622344,14682.438990258612
E12000004,population_total,2040,5623095.426228709,5615465.378769069,5630725.473688344,15260.094919274561
E12000004,population_total,2041,5658437.518725725,5650523.213786806,5666351.823664646,15828.609877839684
E12000004,population_total,2042,5693699.168799265,5685504.666830131,5701893.6707684,16389.00393826887
E12000004,population_total,2043,5728882.790631405,5720411.715537152,5737353.86572565,16942.1501884982
E12000004,population_total,2044,5763990.784270806,5755246.383177595,5772735.18536401,17488.8021864146
E12000004,population_total,2045,5799025.53456971,5790010.726958644,5808040.342180771,18029.615222127177
E12000004,population_total,2046,5833989.410189502,5824706.828686049,5843271.991692944,18565.16300689522
E12000004,population_total,2047,5868884.762671893,5859336.787206557,5878432.738137234,19095.950930677354
E12000004,population_total,2048,5903713.925573196,5893902.712218844,5913525.138927548,19622.42670870386
E12000004,population_total,2049,5938479.213659022,5928406.719151161,5948551.708166884,20144.98901572358
E12000004,population_total,2050,5973182.922156774,5962850.924881057,5983514.9194324985,20663.994551441632
