metric,year,value,ci_lower,ci_upper,ci_width
uk_gdhi_per_head_gbp,2006,14617.82567590457,11752.731843427275,17482.919508381867,5730.187664954592
uk_gdhi_per_head_gbp,2007,15296.855016159327,12298.671432992098,18295.038599326555,5996.367166334458
uk_gdhi_per_head_gbp,2008,15694.917482550238,12618.71365597039,18771.121309130085,6152.407653159695
uk_gdhi_per_head_gbp,2009,15963.415383554828,12834.585968378082,19092.244798731575,6257.658830353494
uk_gdhi_per_head_gbp,2010,16110.671832464577,12952.98015330152,19268.363511627635,6315.383358326115
uk_gdhi_per_head_gbp,2011,16270.437556870573,13081.43179572394,19459.443318017205,6378.011522293265
uk_gdhi_per_head_gbp,2012,16869.625487260404,13563.178891757365,20176.072082763443,6612.893191006078
uk_gdhi_per_head_gbp,2013,17506.113866176613,14074.915548405996,20937.31218394723,6862.396635541234
uk_gdhi_per_head_gbp,2014,18060.826454660728,14520.904469547226,21600.74843977423,7079.843970227004
uk_gdhi_per_head_gbp,2015,19003.8840039198,15279.122739151519,22728.64526868808,7449.522529536562
uk_gdhi_per_head_gbp,2016,19227.845886466115,15459.188092718756,22996.503680213475,7537.315587494719
uk_gdhi_per_head_gbp,2017,19677.297529396663,15820.547213634916,23534.04784515841,7713.500631523493
uk_gdhi_per_head_gbp,2018,20406.755035589555,16407.031048614,24406.47902256511,7999.447973951108
uk_gdhi_per_head_gbp,2019,21015.899634365727,16896.783306030044,25135.01596270141,8238.232656671367
uk_gdhi_per_head_gbp,2020,20978.22580317698,16866.493545754292,25089.95806059967,8223.464514845378
uk_gdhi_per_head_gbp,2021,21729.3478567914,17470.395676860284,25988.300036722514,8517.90435986223
uk_gdhi_per_head_gbp,2022,22895.21751790249,18407.754884393602,27382.680151411376,8974.925267017774
uk_gdhi_per_head_gbp,2023,24741.448097291515,19892.12427022238,29590.77192436065,9698.647654138273
uk_gdhi_per_head_gbp,2024,24903.356546801224,20022.298663628186,29784.414429974262,9762.115766346076
uk_gdhi_per_head_gbp,2025,25815.49311821364,20755.656467043766,30875.329769383512,10119.673302339746
uk_gdhi_per_head_gbp,2026,26676.510567048084,21343.34257448383,32009.678559612337,10666.335985128506
uk_gdhi_per_head_gbp,2027,27567.523887779207,21948.159818494292,33186.88795706412,11238.72813856983
uk_gdhi_per_head_gbp,2028,28489.573195212717,22570.57946817532,34408.56692225011,11837.987454074788
uk_gdhi_per_head_gbp,2029,29443.73438226011,23211.08468822329,35676.384076296934,12465.299388073643
uk_gdhi_per_head_gbp,2030,30431.12033186723,23870.170788316653,36992.06987541781,13121.899087101156
uk_gdhi_per_head_gbp,2031,31452.882169548127,24548.345475688922,38357.418863407336,13809.073387718414
uk_gdhi_per_head_gbp,2032,32510.210557871822,25246.12911082094,39774.2920049227,14528.162894101763
uk_gdhi_per_head_gbp,2033,33604.33703428737,25964.054966171792,41244.61910240294,15280.564136231147
uk_gdhi_per_head_gbp,2034,34736.53539371682,26702.66948785799,42770.40129957564,16067.731811717651
uk_gdhi_per_head_gbp,2035,35908.12311740122,27462.532560188454,44353.71367461399,16891.181114425533
uk_gdhi_per_head_gbp,2036,37120.46284952131,28244.217772943775,45996.70792609885,17752.49015315507
uk_gdhi_per_head_gbp,2037,38374.96392317747,29048.312691288418,47701.61515506652,18653.302463778105
uk_gdhi_per_head_gbp,2038,39673.0839373546,29875.419128185506,49470.74874652369,19595.329618338186
uk_gdhi_per_head_gbp,2039,41016.33038655763,30726.153419178052,51306.50735393721,20580.353934759158
uk_gdhi_per_head_gbp,2040,42406.262344856426,31601.146699387005,53211.37799032585,21610.231290938842
uk_gdhi_per_head_gbp,2041,43844.49220613571,32501.045182564274,55187.93922970714,22686.894047142865
uk_gdhi_per_head_gbp,2042,45332.687482405454,33426.51044202648,57238.864522784424,23812.35408075794
uk_gdhi_per_head_gbp,2043,46872.572662086146,34378.219693280465,59366.92563089183,24988.70593761136
uk_gdhi_per_head_gbp,2044,48465.93113024945,35356.86607813958,61574.996182359326,26218.130104219745
uk_gdhi_per_head_gbp,2045,50114.60715285564,36363.158950112054,63866.05535559923,27502.896405487176
uk_gdhi_per_head_gbp,2046,51820.50792710018,37397.82416082966,66243.19169337071,28845.36753254105
uk_gdhi_per_head_gbp,2047,53585.60570004543,38461.604347264605,68709.60705282625,30248.002705561645
uk_gdhi_per_head_gbp,2048,55411.93995779319,39555.25921947109,71268.6206961153,31713.361476644204
uk_gdhi_per_head_gbp,2049,57301.61968751842,40679.56584856307,73923.67352647377,33244.107677910695
uk_gdhi_per_head_gbp,2050,59256.82571476551,41835.318954624454,76678.33247490657,34843.01352028211
uk_gdhi_total_mn_gbp,2024,1725340.3276857466,1691060.8459406383,1760314.6885486227,69253.84260798432
uk_gdhi_total_mn_gbp,2025,1793781.2779819735,1749322.3618250473,1839370.114654971,90047.75282992376
uk_gdhi_total_mn_gbp,2026,1864895.2242320953,1810285.417209601,1921152.4129297016,110866.99572010059
uk_gdhi_total_mn_gbp,2027,1938785.0379471194,1873518.056744057,2006325.6982428567,132807.64149879967
uk_gdhi_total_mn_gbp,2028,2015557.4958508257,1938905.7594036767,2095239.5439424987,156333.78453882202
uk_gdhi_total_mn_gbp,2029,2095323.426283133,2006426.358876055,2188159.1822738377,181732.82339778263
uk_gdhi_total_mn_gbp,2030,2178197.8610308445,2076095.5419291991,2285321.569252311,209226.02732311166
