region,region_code,metric,year,forecast_value,method,ci_lower,ci_upper
London,E12000007,gdhi_per_head_gbp,2030,42343.3506884057,"arima(2, 1, 2)_log_lb_p=1.000",34929.84974621349,51330.290870079385
London,E12000007,gdhi_total_mn_gbp,2023,297944.4450086461,"arima(2, 1, 2)_log_lb_p=1.000_derived",,
London,E12000007,gdhi_total_mn_gbp,2024,312868.2152873334,"arima(2, 1, 2)_log_lb_p=1.000_derived",,
London,E12000007,gdhi_total_mn_gbp,2025,325304.6081262567,"arima(2, 1, 2)_log_lb_p=1.000_derived",,
London,E12000007,gdhi_total_mn_gbp,2026,338953.85417066864,"arima(2, 1, 2)_log_lb_p=1.000_derived",,
London,E12000007,gdhi_total_mn_gbp,2027,352872.0474820548,"arima(2, 1, 2)_log_lb_p=1.000_derived",,
London,E12000007,gdhi_total_mn_gbp,2028,367459.2861286393,"arima(2, 1, 2)_log_lb_p=1.000_derived",,
London,E12000007,gdhi_total_mn_gbp,2029,382588.7644840081,"arima(2, 1, 2)_log_lb_p=1.000_derived",,
London,E12000007,gdhi_total_mn_gbp,2030,398341.8777262081,"arima(2, 1, 2)_log_lb_p=1.000_derived",,
South East,E12000008,gdhi_per_head_gbp,2023,26804.585599384358,"arima(1, 1, 1)_log_lb_p=1.000",25911.551064230847,27728.3983260479
South East,E12000008,gdhi_per_head_gbp,2024,27572.217481144533,"arima(1, 1, 1)_log_lb_p=1.000",26247.684813072454,28963.589826745672
South East,E12000008,gdhi_per_head_gbp,2025,28361.47909377469,"arima(1, 1, 1)_log_lb_p=1.000",26659.184336860675,30172.472129030637
South East,E12000008,gdhi_per_head_gbp,2026,29172.969782875876,"arima(1, 1, 1)_log_lb_p=1.000",27110.511700220504,31392.33133492153
South East,E12000008,gdhi_per_head_gbp,2027,30007.305216617475,"arima(1, 1, 1)_log_lb_p=1.000",27588.635904007322,32638.01695365617
South East,E12000008,gdhi_per_head_gbp,2028,30865.11782237602,"arima(1, 1, 1)_log_lb_p=1.000",28087.21531975253,33917.76248887131
South East,E12000008,gdhi_per_head_gbp,2029,31747.05723483956,"arima(1, 1, 1)_log_lb_p=1.000",28602.675166059675,35237.11111707964
South East,E12000008,gdhi_per_head_gbp,2030,32653.79075587306,"arima(1, 1, 1)_log_lb_p=1.000",29132.807920991163,36600.31856936309
South East,E12000008,gdhi_total_mn_gbp,2023,255432.85102171087,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
South East,E12000008,gdhi_total_mn_gbp,2024,265877.29398206284,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
South East,E12000008,gdhi_total_mn_gbp,2025,275057.78906609194,"arima(1, 1, 1)_log_lb_p=1.000_derived",,
