region_code,region,year,metric,value,ci_lower,ci_upper,formula,method,data_type
E12000001,North East,2050,productivity_gbp_per_job,99441.10986455237,49868.80696765454,142298.49327983535,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000001,North East,2050,income_per_worker_gbp,111584.38445170791,97393.68809913781,126271.36198781303,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,forecast
E12000002,North West,2009,productivity_gbp_per_job,45685.63948324433,44238.18892870829,47172.49571452477,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2009,income_per_worker_gbp,33041.903172290185,31807.634457925455,34334.53085959354,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2010,productivity_gbp_per_job,47141.76643928119,45675.98045001984,48670.57460589072,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2010,income_per_worker_gbp,33866.67695725063,32562.99290489236,35212.648397569326,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2011,productivity_gbp_per_job,47527.23179161306,46021.27605925156,49074.51364607533,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2011,income_per_worker_gbp,34376.05814733014,33060.92340764136,35746.85658302516,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2012,productivity_gbp_per_job,48807.043805577065,47305.74487423706,50358.7178216043,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2012,income_per_worker_gbp,35465.93423143784,34119.868453975774,36879.09769247139,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2013,productivity_gbp_per_job,50010.70057984568,48440.37484031395,51607.75447256515,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2013,income_per_worker_gbp,36335.96564353452,34947.052501003476,37749.52889575206,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2014,productivity_gbp_per_job,50797.2267584881,49195.90963670254,52442.49698829262,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2014,income_per_worker_gbp,36621.31202186016,35209.88631629683,38071.27133107169,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2015,productivity_gbp_per_job,51517.253867496795,49903.62663599681,53141.63885493971,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2015,income_per_worker_gbp,37581.008765262006,36186.806379753805,39036.66460242265,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2016,productivity_gbp_per_job,51958.30684783168,50366.30544213211,53632.09580062748,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2016,income_per_worker_gbp,37133.98360515673,35704.65609941515,38625.06117398804,gdhi_total_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
E12000002,North West,2017,productivity_gbp_per_job,53605.61806120296,51895.856677874224,55356.83128091652,nominal_gva_mn_gbp / emp_total_jobs * 1e6,derived_monte_carlo,historical
