region,region_code,metric,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,emp_total_jobs,,,,,,,,,,,,,,,,,,,1121000.0,1138000.0,1133000.0,1141000.0,1166000.0,1198000.0,1254000.0,1297000.0,1278000.0,1296000.0,1322000.0,1295000.0,1300000.0,1361000.0,1381000.0,1381000.0,1412177.2939665192,1428941.000280171,1443794.6169696786,1459214.878592876,1474877.933826668,1488379.5359642317,1498679.9756500325,1506304.3385818005,1513425.741220742,1522303.0637163494,1533767.6229079717,1546798.7127319656,1559351.8130719685,1569235.4604151729,1575930.1813276133,1581408.823016172,1587497.4102329738,1595282.0569517303,1604581.1238730426,1614185.1419142496,1622816.8264234972,1629967.0781883413,1636144.4816001868,1642437.9378066785,1649755.2715297495,1658265.0927310172
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,employment_rate_pct,,,,,,,,,,,,,,,79.25015669851838,78.80538345490028,78.76842258836079,78.48552204902275,78.06514122485429,75.37506932714963,76.28884203530896,76.16487029733175,76.41939604667493,76.77625082047898,77.38670727495186,78.97887281293171,79.84241817153558,80.3655082970669,80.19666641221899,80.8510876542358,77.90363072641897,79.96600823763728,80.44069469672385,80.90217324362804,80.65121341140315,80.4618333199547,80.2904751269811,80.13542382209152,79.99512759971215,79.8681823280942,79.75331749629154,79.64938349846008,79.55534012821612,79.47024616790117,79.39324996855933,79.32358092634828,79.260541770077,79.20350158268133,79.15188948679393,79.10518893121176,79.06293252107795,79.024697340037,78.99010071754577,78.95879639897804,78.93047108019184,78.9048412718763,78.88165046229528,78.86066655003185,78.84167952103911,78.82449934674915
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,gdhi_per_head_gbp,,,,,,,13388.968392234943,13608.27813544633,14023.108462109716,14854.122548897923,15226.919774828231,15573.20227060102,15831.260535344396,16444.861733333586,16963.376812342995,17882.10543798702,18787.712185984834,19165.278599164085,19417.240702237596,19307.8107701479,19511.483302588418,20092.750458566705,20781.539782373904,21359.32684116331,22709.08304780415,22992.30931937311,23658.9055854276,24487.170306330703,25279.983327618356,24804.10107951017,25583.13776087951,26991.92363940412,29001.834868029462,28816.7891193619,29855.163137249816,30775.282104234237,31800.06940369899,32879.37326098538,33860.25417271664,34910.80875637463,35973.011955197566,37108.98444308314,38222.5128854576,39408.582574976885,40608.918301435115,41876.42734224092,43169.59109484576,44505.42617882609,45877.87846757127,47282.62171780452,48774.7095202041,50266.84315631084,51783.12130104202,53430.49111030816,55059.50928973272,56755.544764907776,58534.280677331495,60339.81432431563,62159.577122638846,64067.20180563532
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,gdhi_total_mn_gbp,,,,,,,27544.0,28138.0,29212.0,31116.0,32013.0,32776.0,33491.0,34960.0,36444.0,38760.0,41144.0,42388.0,43314.0,43530.0,44392.0,46303.0,48508.0,50471.0,54308.0,55655.0,57689.0,60183.0,62592.0,61827.0,64501.0,68954.0,75426.0,76082.16065759928,78935.70599297255,82064.08520666519,85312.27764766921,88684.69849516696,92180.62877658205,95808.9194596776,99574.19131516201,103481.15532419343,107534.58872124089,111739.29829367429,116100.06439001817,120621.55529972014,125308.19542238768,130163.96018548222,135211.81574650915,140456.2106268959,145902.42548726455,151556.41556477378,157424.69899433613,163514.2782039397,169832.5852665904,176387.44467515493,183187.04883537596,190239.94287804858,197555.0163292128,205141.49985387185
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,income_per_worker_gbp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50708.30795797188,54586.4390681012,55147.80338931547,55913.872424632216,57429.39285417743,59108.081891643575,60789.78422203231,62516.12689558945,64407.04315323181,66489.08482415705,68704.74265343875,71039.28202403839,73416.22058206797,75710.04575778138,78011.57002662486,80340.46595598345,82969.19351207583,85867.64759960303,88759.07303698805,91866.95826350684,95050.82201751806,98105.24731297536,101382.5529456593,104592.79914293613,108248.88559992194,112053.14156199861,115877.87818913226,119716.85924448578,123811.52158060968
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,nominal_gva_mn_gbp,,,,,,,,44939.0,47453.0,50140.0,51629.0,54142.0,57680.0,58679.0,61906.0,64197.0,67342.0,70685.0,69442.0,70989.0,73852.0,76441.0,78990.0,82840.0,86105.0,87246.0,90288.0,94745.0,100171.0,101021.0,104987.0,111615.0,120543.0,127250.3089328794,130940.71251140868,134568.78063638744,137933.0899704739,141143.2325180436,144274.78824955196,147399.15280498337,150561.79133615718,153794.27244279181,157117.70594144877,160545.53244863646,164085.6565196055,167741.9871938229,171515.46516224733,175404.63748985063,179445.96524292143,183551.4650051692,187748.49868232204,192067.50689243432,196512.7640369954,201084.40808306736,205782.5602457071,210607.47739401212,215559.63888639965,220639.7901395048,225848.95836308753,231188.45103231916
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,population_16_64,1298115.0,1305261.0,1307586.0,1315415.0,1332179.0,1343076.0,1355459.0,1362282.0,1374035.0,1383168.0,1388879.0,1391123.0,1398651.0,1405547.0,1422810.0,1437517.0,1451257.0,1461248.0,1466397.0,1475570.0,1481752.0,1490207.0,1502167.0,1516217.0,1531527.0,1547449.0,1555958.0,1565622.0,1574289.0,1584744.0,1603759.0,1618441.0,1645461.0,1669444.0,1675159.5955134889,1681020.4601582058,1683048.263142294,1684452.9364034252,1686542.6799384148,1694024.8036058436,1701737.1762775339,1709397.641448003,1717004.0405656171,1724553.1934132956,1732040.5361802427,1739459.598393768,1746801.2353527443,1754052.4833217568,1761194.8223160515,1768437.6025810847,1775742.9900067528,1783084.6562405655,1790444.357529001,1797809.5209135243,1805171.5452905744,1812524.6076657928,1819864.8254058626,1827189.6688544315,1834497.549779262,1841787.533186556
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,population_total,1961960.0,1977879.0,1985799.0,2000001.0,2024783.0,2040279.0,2057216.0,2067712.0,2083133.0,2094772.0,2102395.0,2104641.0,2115498.0,2125892.0,2148393.0,2167530.0,2189942.0,2211708.0,2230698.0,2254528.0,2275173.0,2304463.0,2334187.0,2362949.0,2391466.0,2420592.0,2438363.0,2457736.0,2475951.0,2492612.0,2521231.0,2554616.0,2600732.0,2640201.0,2643547.840139222,2667772.856855909,2681916.1560246153,2697085.949378585,2721200.179686068,2744202.5815647035,2767167.6660354473,2790087.019277704,2812949.556227312,2835740.575585937,2858440.4157888293,2881022.5149547667,2903450.5666188514,2925674.281055552,2947622.959066651,2969997.6586943152,2992678.891753465,3015582.7946597594,3038650.627035284,3061841.3568721088,3085126.4292446785,3108486.0776705523,3131906.7242883593,3155379.148005256,3178897.1940420656,3202456.865009049
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,productivity_gbp_per_job,,,,,,,,,,,,,,,,,,,61946.47636039251,62380.4920913884,65182.70079435128,66994.74145486415,67744.42538593482,69148.58096828047,68664.27432216906,67267.54047802622,70647.88732394367,73105.70987654322,75772.31467473524,78008.4942084942,80759.23076923077,82009.55180014695,87286.74873280231,92158.5622775235,92814.30130829346,94281.20519489069,95604.05403407445,96843.85380925145,97891.83368874513,99077.26773181128,100548.82567572007,102082.4640835056,103826.50954789914,105493.06449939116,107016.05805792358,108469.0348761605,110007.64459303903,111865.76092481827,113913.26437604845,116083.95245489501,118293.75104504342,120477.50828273453,122546.85322051075,124525.31528021743,126814.62610879369,129231.45264258506,131789.9340567377,134326.47506578846,136917.95995895582,139459.42958958732
"Berkshire, Buckinghamshire and Oxfordshire",TLJ1,unemployment_rate_pct,,,,,,,,,,,,,,,3.4050562443649746,4.522593656043544,4.004638868343801,4.0148122376419115,5.015978854650656,6.710183019478903,6.063442102712768,5.93224385283336,5.839119287508865,4.931042655995749,4.321680618177243,3.7485534105397926,3.187962058920602,2.8932875793872546,3.219870286821942,3.158305893761327,4.53090302389964,3.493053056526253,4.996760073387971,3.954558773130041,4.37202223204732,4.374304325531972,4.37636924910834,4.378237669225623,4.379928285660352,4.38145801867004,4.382842178336812,4.384094617795843,4.385227871882199,4.3862532825836755,4.3871811125552265,4.388020647831061,4.388780290762397,4.389467644111017,4.39008958714026,4.390652344465006,4.39116154834971,4.391622295077999,4.3920391959579925,4.392416423473824,4.3927577530452595,4.393066600813378,4.393346057830447,4.393598920996225,4.393827721050263,4.394034747900406
